Series,Episode,IMDb Rating,Volatility,Average Points,Point Variance,Rank Spread,Lead Changes,Max Points,Min Points,Point Range,Comeback Index,Tension,Score Skewness,Winner Dominance,Lead Retention,Score StdDev,Winner Diversity,Winner Margin Slope
8,7,7.7,0.55,2.84,3.0944000000000007,1.457246202489657,0,5.0,0.0,5.0,0.0,11.0,1.3012011160284134,12.25,5,1.354669125421895,2,3.3000000000000003
8,8,7.9,0.3,2.64,3.7504000000000004,1.5456449898535884,1,5.0,0.0,5.0,0.0,3.0,0.246907240862588,9.75,5,1.5744120979519125,2,1.7000000000000002
8,9,7.7,0.92,2.933333333333333,1.7288888888888887,1.4179819326101188,3,5.0,1.0,4.0,-1.0,1.0,0.3804646084815715,3.0,2,1.2573354300801327,3,1.3714285714285714
8,10,8.0,0.55,2.64,3.0304,1.4310598374007026,0,5.0,0.0,5.0,0.0,5.0,1.2621071358631293,6.0,5,1.6558833299278715,2,1.0
11,1,7.8,0.35,2.56,3.1264,1.5504906972479813,1,5.0,0.0,5.0,0.0,2.0,-0.3558310718809051,7.75,2,1.2700633096309475,3,2.6
11,2,7.8,0.6,3.16,2.2944,1.5610520237826642,1,5.0,0.0,5.0,1.0,4.0,0.4046348853607489,6.5,4,1.268029904647467,4,1.2000000000000002
11,3,7.5,0.95,2.92,2.7135999999999996,1.3414811554778001,1,5.0,0.0,5.0,2.0,2.0,0.38595568587775997,6.75,4,1.4404364281366382,2,2.6
11,4,8.0,0.3,2.8,3.84,1.6642250508504464,2,5.0,0.0,5.0,0.0,2.0,0.12672258218421675,11.25,5,1.2842160998957248,3,3.7
11,5,8.0,0.95,2.8,2.6400000000000006,1.5055923539739322,1,5.0,0.0,5.0,2.0,2.0,0.35136418446315326,3.75,4,1.5107603648257726,3,1.7000000000000002
11,6,8.5,0.4782608695652174,2.642857142857143,2.8010204081632653,1.437453036365504,1,5.0,0.0,5.0,,0.0,-0.5451388888888898,2.75,5,1.531412241632562,3,
11,7,7.9,0.7,2.76,3.1423999999999994,1.5414721972496526,0,5.0,0.0,5.0,0.0,8.0,1.0075131480090151,10.25,5,1.487842314830166,3,1.8
11,8,7.9,0.3,2.96,1.3984,1.4901853200448563,1,5.0,1.0,4.0,1.0,1.0,-0.29310456784806704,4.0,3,1.002236962206685,3,0.8
11,9,7.8,0.55,3.04,2.3584,1.5543849455044287,1,5.0,0.0,5.0,1.0,2.0,-0.4006738303758192,6.0,4,1.2223680618326875,2,1.1
